,Dataset,# Tests,# Baseline Available,Max Primal Gap,Avg. Time Spent,Max Infeasibility
0,vertexcover2-1,4,4,0.33339253930856394,253.41847389936447,0.0
1,testset2-1,14,14,2.8786515505752064e-06,0.3293729169028146,8.526512829121202e-12
2,maxcut2,10,10,2.0323804164945614e-05,243.67905564308165,9.0
3,testset2-2,6,6,3.1733819363388704e-06,0.9494725465774536,7.73070496506989e-12
4,testset3-2,4,4,1.8291790677693598e-06,5.29743891954422,1.9099388737231493e-11
5,testset3-1,16,16,0.7242165849181383,1.491098940372467,3.069544618483633e-11
6,testset0,3,2,3.4402555115775613e-07,0.23919073740641275,1.7053025658242404e-13
7,large1,10,10,2.267861538118865e-06,10.430274510383606,3.433342499192804e-11
8,vertexcover1-2,7,7,0.05721396687336622,4.5111625875745505,0.0
9,vertexcover2-2,16,16,0.9481381758401461,378.40830005705357,0.0
10,vertexcover1-1,13,13,0.009111462320963604,5.012301316628089,0.0
11,vertexcover3,10,10,0.17704452487640054,418.7540731668472,0.0
12,maxcut1,20,20,1.0122039498128288e-05,24.28514039516449,9.0
13,testset1,20,20,1.4520778091053899e-06,0.37652355432510376,8.071765478234738e-12
14,large2,20,20,4.1099990824022825e-06,33.485302937030795,4.547473508864641e-11
